,frac_year,smoothed_uth_anomaly_tropics_all,smoothed_uth_anomaly_tropics_land,smoothed_uth_anomaly_tropics_ocean,smoothed_surface_temperature_anomaly_tropics_all,smoothed_land_surface_temperature_anomaly_tropics,smoothed_sea_surface_temperature_anomaly_tropics,sea_surface_temperature_anomaly_enso_1+2,sea_surface_temperature_anomaly_enso_3,sea_surface_temperature_anomaly_enso_3.4,sea_surface_temperature_anomaly_enso_4
45,1982.792,0.239999996808668,0.6341666703422865,0.21833332814276218,-0.0042952280195957355,-0.5582245115249833,0.09018440852089782,2.8948123707490936,2.4094055175781364,2.261117733226115,1.026700367647038
46,1982.875,0.008333332526187101,0.47416667143503827,-0.03083333931863308,0.012995523119727181,-0.5508443438817542,0.10342140803261657,3.251351390165439,2.9094277774586317,2.665469539866706,1.124082677504589
47,1982.958,-0.03249999973922968,0.4025000048180421,-0.06250000496705373,0.039960346524675096,-0.4481018308609208,0.1080193898034499,3.679318057789544,3.2463755888097694,2.785129322725197,0.9196439855239191
48,1983.042,-0.03333333476136128,0.38000000392397243,-0.05833333730697632,0.059926472012956346,-0.42320203024243125,0.12422931005084574,2.904976878446689,3.1654278923483616,2.779027243221492,0.8381541532628489
49,1983.125,-0.08666666845480601,0.28083334242304164,-0.1041666716337204,0.0742621043371751,-0.38114880758618125,0.13330066014850198,2.435916317210456,2.565253403607528,2.1357572667739078,0.643237663717855
50,1983.208,-0.14999999944120646,0.13166667893528938,-0.14750000337759653,0.07778179834759176,-0.37248181539868125,0.13704414973183532,2.260815788717821,1.936738855698536,1.7377936868106758,0.6039952895220608
51,1983.292,-0.15416666710128388,-0.008333321660757065,-0.1266666700442632,0.08855704655722718,-0.35372876364086875,0.14037565201048116,3.0080358168657995,1.7495548023896959,1.165220372817089,0.15309520048253944
52,1983.375,-0.15583333217849335,-0.32333332921067875,-0.027499998609224956,0.07937634180462301,-0.3845438881525875,0.12443021744016865,3.6015309053308897,1.6018432617187273,0.9040139590992453,0.17643289005053475
53,1983.458,-0.13416666630655527,-0.5041666614512602,0.04666666438182195,0.07437908838665426,-0.2625396970718583,0.09978727310423115,4.501799100988023,1.6006056841682152,0.5988798253676464,0.04794526941634558
54,1983.542,-0.1025000000372529,-0.537499992797772,0.08416666587193807,0.06161765446738343,-0.2061584714859208,0.07781715998574157,4.466555247587337,0.9887914321001858,-0.19200008616729747,-0.24415678136489305
55,1983.625,0.0741666719938318,-0.4216666631400585,0.26500000059604645,0.03964499821738343,-0.19544934469555622,0.06018817235553323,3.689746452780355,0.7685169893152306,-0.3674732881434011,-0.46015804515167247
56,1983.708,0.17250000592321157,-0.4191666605571906,0.37833333263794583,0.012255471850195931,-0.2446563962906083,0.04324074397011657,1.8049416934742908,0.2964366239659739,-0.26067433076747193,-0.3993839039521845
57,1983.792,0.29166666821887094,-0.2274999978641669,0.4441666665176551,0.003776671394466765,-0.1769506060887854,0.02857450454954365,1.0783756031709686,-0.15999145507811363,-0.635488712086385,-0.7990137436810869
58,1983.875,0.38833333645015955,-0.3541666604578495,0.6100000056127707,-0.0064924936445957355,-0.12381441631013956,0.014709351554751985,0.9119959214154392,-0.4773825252757433,-0.9134489171645441,-0.9611224006204111
59,1983.958,0.4641666670019428,-0.3958333283662796,0.7183333374559879,-0.0243859669518874,-0.1430633787124833,0.003046550447981152,0.6963163488051691,-0.5069203096277306,-0.9321863511029278,-0.8277009851792059
60,1984.042,0.38750000142802793,-0.4916666621963183,0.6408333368599415,-0.0632348439050124,-0.19531201559399372,-0.03332023015097718,0.29233649758731417,-0.36261776194851336,-0.605463723575383,-0.6901966768152761
61,1984.125,0.4400000018067658,-0.3266666668156783,0.660000003563861,-0.09447467137897074,-0.26805574931795206,-0.05657462468222718,-0.03814374138329413,-0.05428394990809693,-0.5013582117417172,-0.877636359719645
62,1984.208,0.4266666684610148,-0.289166667809089,0.6258333371952176,-0.11145007421100199,-0.3055999998062333,-0.07034568181113343,-0.41627771714155415,0.0692156623391611,-0.4934074850643242,-0.8536463120404392
63,1984.292,0.2441666736267507,-0.25583333646257717,0.39250000783552724,-0.1308923146081374,-0.3415471637059729,-0.07630423894003968,-0.34901984719670054,0.14155309340532085,-0.3321551154641611,-0.8493767233455856
