frac_year,tcwv
2016.6086350273224,64.7
2016.6086919398906,65.6
2016.608748852459,66.1
2016.6088057923498,66.6
2016.608862704918,66.4
2016.6089196174864,66.2
2016.608976557377,66.4
2016.6090334699454,66.1
2016.6090903825136,65.5
2016.6091473224044,65.4
2016.6092042349726,65.0
2016.609261147541,64.6
2016.6093180874318,64.0
2016.609375,64.0
2016.6094319125682,64.0
2016.609488852459,63.5
2016.6095457650274,62.6
2016.6096026775956,61.9
2016.6096596174864,61.9
2016.6097165300546,60.9
2016.609773442623,60.9
2016.6098303825136,61.5
2016.609887295082,58.3
2016.6099442076502,55.7
2016.610001147541,55.5
2016.6100580601094,54.6
2016.6101149726776,54.7
2016.6101719125684,56.7
2016.6102288251366,58.6
2016.610285737705,58.5
2016.6103426775956,57.6
2016.610399590164,57.0
2016.6104565027322,57.0
2016.610513442623,57.2
2016.6105703551912,57.2
2016.6106272677596,57.5
2016.6106842076504,57.6
2016.6107411202186,56.4
2016.610798032787,55.2
2016.6108549726775,54.7
2016.610911885246,55.1
2016.6109687978142,55.4
2016.611025737705,55.3
2016.6110826502731,55.3
2016.6111395628416,55.0
2016.6111965027321,55.3
2016.6112534153006,55.8
2016.6113103278688,54.8
2016.6113672677595,54.2
2016.611424180328,54.4
2016.6114810928962,54.8
2016.611538032787,54.9
2016.6115949453551,55.2
2016.6116518579236,55.1
2016.6117087978141,54.4
2016.6117657103825,54.6
2016.6118226229507,53.9
2016.6118795628415,54.2
2016.61193647541,54.2
2016.6119933879781,54.1
2016.612050327869,54.8
2016.6121072404371,55.1
2016.6121641530056,54.7
2016.612221092896,53.9
2016.6122780054645,53.7
2016.6123349180327,54.0
2016.6123918579235,54.5
2016.6124487704917,54.7
2016.6125056830601,54.9
2016.612562622951,55.2
2016.6126195355191,54.9
2016.6126764480875,55.2
2016.612733387978,55.1
2016.6127903005465,55.1
2016.6128472131147,55.5
2016.6129041530055,55.0
2016.6129610655737,54.9
2016.6130179781421,55.2
2016.6130749180327,55.3
2016.613131830601,55.3
2016.6131887431693,55.4
2016.61324568306,55.4
2016.6133025956285,55.1
2016.6133595081967,55.1
2016.6134164480875,54.9
2016.6134733606557,54.8
2016.6135302732241,54.6
2016.6135872131147,54.4
2016.613644125683,55.5
2016.6137010382513,56.3
2016.613757978142,56.0
2016.6138148907103,55.8
2016.6138718032787,56.1
2016.6139287431695,56.5
